,Date,Datetime,Surface Temperature (kelvin),Surface Temperature (Celcius),Power,Confidence,Latitude,Longitude
134,2017-10-21,2017-10-21T01:09:55,333.1,59,139.6,88,-36.098,143.735
135,2017-10-21,2017-10-21T01:09:54,309.1,35,28.7,65,-36.1,143.77200000000002
136,2017-10-21,2017-10-21T01:09:54,340.9,67,196.8,92,-36.098,143.74
137,2017-10-20,2017-10-20T04:41:19,319.7,46,16.4,80,-37.586,141.27100000000002
138,2017-10-20,2017-10-20T04:41:19,323.4,50,20.2,82,-37.588,141.259
139,2017-10-20,2017-10-20T00:27:12,327.9,54,25.5,65,-37.296,144.386
140,2017-10-18,2017-10-18T00:39:27,323.1,49,20.8,79,-37.287,144.392
141,2017-10-18,2017-10-18T00:39:27,319.3,46,16.3,75,-37.295,144.377
142,2017-10-18,2017-10-18T00:39:03,327.5,54,14.2,72,-35.364000000000004,141.063
143,2017-10-18,2017-10-18T00:39:02,333.0,59,35.9,84,-35.89,145.606
144,2017-10-18,2017-10-18T00:39:02,329.7,56,28.8,82,-35.889,145.614
145,2017-10-18,2017-10-18T00:39:02,322.8,49,19.0,71,-35.891999999999996,145.62
146,2017-10-17,2017-10-17T13:36:12,317.0,43,17.1,94,-37.247,141.27
147,2017-10-17,2017-10-17T04:10:59,324.2,51,13.5,73,-35.937,145.607
148,2017-10-17,2017-10-17T04:10:45,341.7,68,88.2,91,-37.247,141.278
149,2017-10-17,2017-10-17T04:10:38,314.5,41,11.7,58,-37.586999999999996,142.47899999999998
150,2017-10-17,2017-10-17T04:10:32,329.1,55,28.8,82,-37.805,144.15
151,2017-10-16,2017-10-16T23:56:43,309.9,36,22.2,62,-37.288000000000004,144.39
152,2017-10-15,2017-10-15T04:23:01,360.5,87,107.1,100,-37.294000000000004,141.232
153,2017-10-15,2017-10-15T04:23:01,359.0,85,101.7,99,-37.293,141.245
154,2017-10-15,2017-10-15T00:08:42,319.5,46,17.4,78,-36.851,148.11700000000002
155,2017-10-10,2017-10-10T04:04:34,313.7,40,17.4,72,-37.249,143.41299999999998
156,2017-10-10,2017-10-10T04:04:19,350.2,77,109.2,96,-38.126999999999995,143.82
157,2017-10-10,2017-10-10T04:04:19,317.1,43,22.7,76,-38.116,143.81799999999998
158,2017-10-09,2017-10-09T00:45:42,317.7,44,20.6,78,-37.245,143.42600000000002
159,2017-10-08,2017-10-08T04:16:48,315.1,41,12.9,72,-37.091,145.362
160,2017-10-07,2017-10-07T12:59:33,315.4,42,23.1,91,-37.086999999999996,145.363
161,2017-10-06,2017-10-06T04:29:25,315.7,42,11.5,76,-35.961999999999996,143.791
162,2017-10-06,2017-10-06T04:29:13,319.7,46,17.8,77,-36.498000000000005,144.877
163,2017-10-04,2017-10-04T04:41:36,314.3,41,15.7,50,-36.418,141.596
164,2017-10-04,2017-10-04T04:41:02,319.9,46,51.1,80,-37.38,148.053
165,2017-10-04,2017-10-04T04:41:00,319.7,46,55.4,80,-37.466,148.143
166,2017-10-04,2017-10-04T04:41:00,327.4,54,81.4,85,-37.472,148.119
167,2017-10-04,2017-10-04T04:41:00,332.1,58,95.3,88,-37.469,148.125
168,2017-10-03,2017-10-03T15:01:44,306.8,33,14.5,69,-37.461,148.109
169,2017-10-03,2017-10-03T13:23:43,315.8,42,29.0,92,-37.459,148.092
170,2017-10-03,2017-10-03T03:58:28,310.2,37,35.1,68,-37.236,141.17600000000002
171,2017-10-03,2017-10-03T03:58:28,308.4,35,28.1,59,-37.227,141.151
172,2017-10-03,2017-10-03T03:58:28,316.9,43,56.9,77,-37.242,141.153
173,2017-10-03,2017-10-03T03:58:28,316.3,43,55.6,76,-37.238,141.145
174,2017-10-03,2017-10-03T03:58:15,337.1,63,37.7,90,-37.365,148.05200000000002
175,2017-10-03,2017-10-03T03:58:15,321.2,48,17.3,81,-37.376,148.042
176,2017-10-03,2017-10-03T03:58:15,322.6,49,18.2,82,-37.375,148.054
177,2017-10-03,2017-10-03T03:58:15,328.4,55,25.9,84,-37.385999999999996,148.043
178,2017-10-03,2017-10-03T03:58:15,336.5,63,38.3,90,-37.384,148.056
179,2017-10-03,2017-10-03T03:58:15,328.5,55,24.3,71,-37.367,148.04
180,2017-10-03,2017-10-03T03:58:14,323.4,50,21.3,71,-37.471,148.091
181,2017-10-03,2017-10-03T03:58:14,363.8,90,108.0,100,-37.461999999999996,148.089
182,2017-10-03,2017-10-03T03:58:14,338.8,65,41.9,88,-37.46,148.102
183,2017-10-03,2017-10-03T03:58:14,332.9,59,33.5,87,-37.469,148.10299999999998
184,2017-10-03,2017-10-03T01:22:44,312.5,39,69.4,73,-37.229,141.18200000000002
185,2017-10-03,2017-10-03T01:22:44,305.1,31,41.2,54,-37.227,141.14600000000002
186,2017-10-02,2017-10-02T23:44:31,302.2,29,10.9,50,-37.466,148.1
187,2017-10-02,2017-10-02T04:53:10,313.9,40,62.0,59,-37.475,148.134
188,2017-10-02,2017-10-02T04:53:10,323.7,50,117.5,83,-37.47,148.089
189,2017-10-02,2017-10-02T04:53:10,316.7,43,75.9,71,-37.485,148.095
190,2017-10-02,2017-10-02T04:53:09,334.8,61,187.8,85,-37.477,148.097
191,2017-10-02,2017-10-02T00:39:34,316.1,42,34.1,76,-37.461,148.105
192,2017-10-02,2017-10-02T00:39:34,313.2,40,27.1,68,-37.455999999999996,148.11
193,2017-10-01,2017-10-01T15:13:56,307.2,34,10.9,62,-37.463,148.109
194,2017-10-01,2017-10-01T15:13:56,327.3,54,29.0,100,-37.453,148.111
195,2017-10-01,2017-10-01T13:36:02,309.2,36,39.3,77,-37.461,148.10299999999998
196,2017-10-01,2017-10-01T04:10:30,326.3,53,20.9,79,-37.368,148.05
197,2017-10-01,2017-10-01T04:10:28,326.0,52,21.0,84,-37.478,148.11700000000002
198,2017-10-01,2017-10-01T04:10:28,334.9,61,32.2,89,-37.467,148.127
199,2017-10-01,2017-10-01T04:10:28,325.5,52,19.9,64,-37.46,148.113
200,2017-10-01,2017-10-01T04:10:28,317.9,44,13.3,78,-37.453,148.099
201,2017-09-29,2017-09-29T04:22:41,310.5,37,11.9,70,-37.45,148.097
202,2017-09-29,2017-09-29T04:22:31,323.0,49,20.6,82,-38.226,147.167
203,2017-09-27,2017-09-27T04:35:36,323.4,50,13.4,78,-35.954,141.076
204,2017-09-27,2017-09-27T04:35:36,329.7,56,19.6,83,-35.961,141.089
205,2017-09-27,2017-09-27T04:35:36,333.7,60,25.3,86,-35.963,141.078
206,2017-09-27,2017-09-27T04:35:27,318.4,45,12.2,72,-36.275,142.785
207,2017-09-27,2017-09-27T04:35:18,313.1,39,11.2,65,-36.398,145.286
208,2017-09-27,2017-09-27T00:21:05,323.0,49,26.3,79,-35.953,141.078
209,2017-09-27,2017-09-27T00:21:05,322.5,49,24.1,79,-35.957,141.088
210,2017-09-26,2017-09-26T03:52:14,306.7,33,17.5,64,-37.086999999999996,145.37
211,2017-09-24,2017-09-24T15:07:50,308.8,35,11.2,76,-37.758,148.721
212,2017-09-24,2017-09-24T15:07:49,307.8,34,11.1,73,-37.561,148.032
213,2017-09-24,2017-09-24T15:07:47,338.2,65,46.8,100,-37.446,148.102
214,2017-09-24,2017-09-24T15:07:47,332.5,59,35.5,72,-37.448,148.114
215,2017-09-24,2017-09-24T15:07:47,307.4,34,10.9,71,-37.453,148.118
216,2017-09-24,2017-09-24T15:07:47,315.0,41,17.1,90,-37.457,148.143
217,2017-09-24,2017-09-24T15:07:47,335.1,61,39.7,99,-37.437,148.10399999999998
218,2017-09-24,2017-09-24T15:07:47,325.9,52,27.4,70,-37.434,148.091
219,2017-09-24,2017-09-24T15:07:46,308.4,35,11.6,74,-37.538000000000004,148.895
220,2017-09-24,2017-09-24T15:07:45,316.9,43,19.2,94,-37.333,148.099
221,2017-09-24,2017-09-24T15:07:45,334.4,61,42.3,100,-37.33,148.08700000000002
222,2017-09-24,2017-09-24T13:30:10,321.1,47,50.4,100,-37.327,148.083
223,2017-09-24,2017-09-24T13:30:09,309.1,35,23.4,59,-37.375,148.063
224,2017-09-24,2017-09-24T13:30:09,311.3,38,29.2,82,-37.336,148.07299999999998
225,2017-09-24,2017-09-24T13:30:09,322.0,48,51.5,100,-37.332,148.091
226,2017-09-24,2017-09-24T13:30:09,322.1,48,48.6,100,-37.363,148.06
227,2017-09-24,2017-09-24T13:30:07,324.0,50,50.8,84,-37.438,148.09
228,2017-09-24,2017-09-24T04:04:19,361.6,88,85.2,100,-37.406,148.123
229,2017-09-24,2017-09-24T04:04:19,332.1,58,26.6,58,-37.397,148.121
230,2017-09-24,2017-09-24T04:04:18,350.6,77,56.6,68,-37.452,148.115
231,2017-09-24,2017-09-24T04:04:18,336.6,63,33.1,68,-37.465,148.153
232,2017-09-24,2017-09-24T04:04:18,343.0,69,39.9,64,-37.45,148.126
233,2017-09-24,2017-09-24T04:04:18,349.9,76,58.2,86,-37.436,148.088
234,2017-09-24,2017-09-24T04:04:18,340.0,66,39.5,73,-37.444,148.101
235,2017-09-24,2017-09-24T04:04:17,345.3,72,47.0,61,-37.562,148.05
236,2017-09-24,2017-09-24T04:04:04,313.4,40,12.2,74,-38.5,146.938
237,2017-09-24,2017-09-24T04:04:04,325.8,52,25.7,84,-38.498000000000005,146.95
238,2017-09-24,2017-09-24T04:04:04,327.0,53,28.8,56,-38.495,146.944
239,2017-09-23,2017-09-23T23:50:45,310.6,37,21.3,70,-37.497,147.266
240,2017-09-23,2017-09-23T23:50:44,329.7,56,50.1,86,-37.57,148.034
241,2017-09-23,2017-09-23T23:50:43,314.6,41,21.8,56,-37.559,148.037
242,2017-09-23,2017-09-23T23:50:40,355.6,82,127.2,58,-37.379,148.126
243,2017-09-23,2017-09-23T23:50:40,351.9,78,112.7,62,-37.379,148.132
244,2017-09-23,2017-09-23T12:47:12,329.7,56,45.6,100,-37.434,148.123
245,2017-09-23,2017-09-23T12:47:12,338.3,65,62.3,100,-37.396,148.086
246,2017-09-23,2017-09-23T12:47:12,321.2,48,32.4,100,-37.406,148.088
247,2017-09-23,2017-09-23T12:47:12,325.9,52,39.6,100,-37.415,148.105
248,2017-09-23,2017-09-23T12:47:12,323.4,50,35.7,100,-37.425,148.107
249,2017-09-23,2017-09-23T12:47:12,312.9,39,20.6,75,-37.391,148.066
